取得時刻,競馬場名,開催日,クッション値_測定時刻,クッション値,含水率_測定時刻,含水率_芝_ゴール前,含水率_芝4コーナー,含水率_ダート_ゴール前,含水率_ダート_4コーナー
20220228_182401,中山,2022年2月27日,2月27日（日曜）7時00分,10.1,2月27日（日曜）5時30分,11.20%,12.50%,5.00%,3.50%
20220228_182401,阪神,2022年2月27日,2月27日（日曜）7時30分,9.8,2月27日（日曜）5時00分,8.70%,11.10%,3.20%,3.30%
20220228_182401,小倉,2022年2月27日,2月27日（日曜）8時00分,9.7,2月27日（日曜）5時00分,7.50%,9.50%,5.50%,6.20%
20220317_215722,中京,2022年3月13日,3月13日（日曜）6時30分,9.5,3月13日（日曜）5時00分,12.60%,13.50%,1.80%,1.70%
20220317_215721,中山,2022年3月13日,3月13日（日曜）7時00分,9.8,3月13日（日曜）5時30分,10.90%,12.20%,2.00%,3.00%
20220317_215721,阪神,2022年3月13日,3月13日（日曜）7時30分,10.1,3月13日（日曜）5時00分,8.10%,10.50%,1.70%,1.80%
20220318_223103,中山,2022年3月18日,3月18日（金曜）10時30分,9.4,3月18日（金曜）10時30分,11.10%,13.10%,3.20%,3.00%
20220318_223103,阪神,2022年3月18日,3月18日（金曜）9時30分,10.0,3月18日（金曜）10時00分,8.80%,11.40%,5.60%,5.70%
20220318_223104,中京,2022年3月18日,3月18日（金曜）9時30分,9.7,3月18日（金曜）9時30分,9.30%,10.30%,2.00%,2.10%
20220319_131240,中京,2022年3月19日,3月19日（土曜）6時30分,7.0,3月19日（土曜）5時00分,15.90%,14.10%,17.60%,16.00%
20220319_131240,中山,2022年3月19日,3月19日（土曜）7時00分,8.6,3月19日（土曜）5時30分,16.10%,15.70%,16.90%,15.90%
20220319_131240,阪神,2022年3月19日,3月19日（土曜）7時30分,9.5,3月19日（土曜）4時30分,12.50%,14.80%,15.30%,16.90%
20220320_104818,中山,2022年3月20日,3月20日（日曜）7時00分,8.7,3月20日（日曜）5時00分,16.1%,14.9%,15.8%,14.2%
20220320_104818,阪神,2022年3月20日,3月20日（日曜）7時30分,9.6,3月20日（日曜）5時00分,10.0%,13.5%,13.0%,16.2%
20220320_104819,中京,2022年3月20日,3月20日（日曜）6時30分,8.2,3月20日（日曜）6時30分,14.2%,14.0%,9.6%,10.6%
